Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Actual_Attrition,Predicted_Attrition,Attrition_Probability,Risk_Category,Actual_Attrition_Label,Predicted_Attrition_Label,SHAP_OverTime_Yes,SHAP_Age,SHAP_MonthlyIncome,SHAP_StockOptionLevel,SHAP_YearsWithCurrManager,SHAP_YearsAtCompany,SHAP_NumCompaniesWorked,SHAP_TotalWorkingYears,SHAP_DistanceFromHome,SHAP_EnvironmentSatisfaction
24,0,Non-Travel,830,Sales,13,2,Life Sciences,4,Female,78,3,1,Sales Representative,2,Married,2033,7103,1,No,13,3,3,1,1,2,3,1,0,0,0,0,1,0.62,Medium Risk,Stayed,Predicted Leave,-0.03020880575444153,0.07645673311008182,0.09364605096312516,-0.014897660568353786,0.0852511466062333,0.0656680514824916,0.0058574892414071655,0.08203370035016178,0.021579113816679863,-0.013506901228645347
44,0,Travel_Rarely,1117,Research & Development,2,1,Life Sciences,1,Female,72,4,1,Research Scientist,4,Married,2011,19982,1,No,13,3,4,1,10,5,3,10,5,7,7,0,0,0.03,Low Risk,Stayed,Predicted Stay,-0.031636962548222985,-0.014818931003615034,0.017760701158415486,-0.0140659092032206,-0.009021513338216209,-0.0036935323258512655,-0.006004533382206318,-0.000752922072306319,-0.011263301466577787,0.009179336290749233
31,0,Travel_Rarely,688,Sales,7,3,Life Sciences,3,Male,44,2,3,Manager,4,Divorced,11557,25291,9,No,21,4,3,1,10,3,2,5,4,0,1,0,0,0.085,Low Risk,Stayed,Predicted Stay,-0.021471783893739483,0.007662759752829516,-0.015095474419822494,-0.02318241891456637,0.013211111137798071,-0.00768237913970097,0.0197382179641545,5.3355026916506174e-05,-0.004569940459236932,-0.0074082918241902005
44,0,Travel_Rarely,1199,Research & Development,4,2,Life Sciences,3,Male,92,4,5,Manager,1,Divorced,19190,17477,1,No,14,3,4,2,26,4,2,25,9,14,13,0,0,0.01,Low Risk,Stayed,Predicted Stay,-0.014748171153025852,-0.012788551176338387,-0.015926772667842214,-0.013239122990382839,-0.010453782622996642,-0.008757459866685621,-0.007021870542853321,-0.014589723563481129,-0.009225454609813824,-0.00633221684550108
36,1,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,1,0,0.235,Low Risk,Left,Predicted Stay,0.051891957177449516,-0.02473542013501401,-0.002796015409726351,-0.022751960721702744,0.029859923961398634,0.0243026514127655,-0.01953743707513013,0.024758852579041105,-0.006612911165605056,-0.009521592821838567
40,0,Travel_Rarely,448,Research & Development,16,3,Life Sciences,3,Female,84,3,3,Manufacturing Director,4,Single,7945,19948,6,Yes,15,3,4,0,18,2,2,4,2,3,3,0,0,0.105,Low Risk,Stayed,Predicted Stay,0.042030815264261036,-0.029236808644782286,-0.015063862929349626,0.01317567158532711,-0.00816834414398727,-0.0018456812495605845,0.019753411482571436,-0.024319987504864003,0.007944846740490447,-0.009313410843672045
52,0,Travel_Rarely,319,Research & Development,3,3,Medical,4,Male,39,2,3,Manufacturing Director,3,Married,7969,19609,2,Yes,14,3,3,0,28,4,3,5,4,0,4,0,0,0.03,Low Risk,Stayed,Predicted Stay,0.021714863093170608,-0.02029932722983858,-0.013001516921633538,0.00998450398256864,-0.008663129518081404,-0.008368373036037156,-0.010274857523106674,-0.019397530793107763,-0.009410674678579199,-0.01271304121877165
43,0,Travel_Rarely,823,Research & Development,6,3,Medical,1,Female,81,2,5,Manager,3,Married,19392,22539,7,No,13,3,4,0,21,2,3,16,12,6,14,0,0,0.075,Low Risk,Stayed,Predicted Stay,-0.01588315668818268,-0.016832343189316815,-0.0227900723723792,0.012961217586109797,-0.009998254048473426,-0.009453165678150981,0.02153766782327921,-0.015063638283961608,-0.007980176800610934,0.015477936592822062
35,0,Travel_Rarely,1370,Research & Development,27,4,Life Sciences,4,Male,49,3,2,Manufacturing Director,3,Married,6883,5151,2,No,16,3,2,1,17,3,3,7,7,0,7,0,0,0.01,Low Risk,Stayed,Predicted Stay,-0.01721194640173053,-0.004818534875540479,-0.010626276556422454,-0.014096839277722211,-0.007865277208341013,-0.0083039677075476,-0.007359900827650563,-0.010393792832967392,0.010365108308237723,-0.010675701701429716
18,0,Non-Travel,1431,Research & Development,14,3,Medical,2,Female,33,3,1,Research Scientist,3,Single,1514,8018,1,No,16,3,3,0,0,4,1,0,0,0,0,0,0,0.4,Medium Risk,Stayed,Predicted Stay,-0.03487391937786697,0.0640982368768647,0.0599515007669811,0.01751541486438782,0.03750860400817146,0.05028311740606114,0.001222509034748782,0.05031670073025452,0.00984689045275445,-0.0015479022031013301
34,0,Travel_Rarely,678,Research & Development,19,3,Life Sciences,2,Female,35,2,1,Research Scientist,4,Married,2929,20338,1,No,12,3,2,0,10,3,3,10,9,8,7,0,0,0.085,Low Risk,Stayed,Predicted Stay,-0.02471158912617284,-0.008316157984434086,0.005411082258287934,0.01483033731681644,-0.004235990262991436,-0.010262332188458458,-0.012705905469490518,-0.0007219263691786181,0.006365176843819427,-0.002278980873297769
54,0,Travel_Rarely,1082,Sales,2,4,Life Sciences,3,Female,41,2,3,Sales Executive,3,Married,10686,8392,6,No,11,3,2,1,13,4,3,9,4,7,0,0,0,0.23,Low Risk,Stayed,Predicted Stay,-0.01334229796793352,-0.000840144357077861,0.001493923212494792,-0.013939714983621343,0.01860169187752945,-0.0014640782358401338,0.01550001638202275,0.0033021501101188734,-0.011545476246055841,-0.0060966612456195435
35,0,Travel_Frequently,138,Research & Development,2,3,Medical,2,Female,37,3,2,Laboratory Technician,2,Single,4425,15986,5,No,11,3,4,0,10,5,3,6,2,1,2,0,0,0.15,Low Risk,Stayed,Predicted Stay,-0.01836571421828921,-0.01361005299408248,-0.005167795204572485,0.009230590415752431,-0.0028264135311974314,-0.00731919253847991,0.023727772343636388,0.0010357257443388336,-0.008252787472457043,-0.0030820922604925726
31,0,Travel_Rarely,196,Sales,29,4,Marketing,1,Female,91,2,2,Sales Executive,4,Married,5468,13402,1,No,14,3,1,2,13,3,3,12,7,5,7,0,0,0.185,Low Risk,Stayed,Predicted Stay,-0.01982484130339117,0.006364054779023718,-0.01323825759016472,-0.02105570356090766,-0.007864386645774175,-0.0025157702450633226,-0.00814039504066841,-0.0038379455670883543,0.03758245310317079,0.02512536251682377
